,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
361,Shorāpur,16.52,76.75,296.2,92,100,3.01,IN,1598060872
362,Redmond,47.67,-122.12,293.71,92,96,3.05,US,1598060650
363,Barra Patuca,15.8,-84.28,298.51,91,100,2.77,HN,1598060873
364,Acapulco de Juárez,16.86,-99.89,302.15,74,75,3.1,MX,1598060874
365,São Filipe,14.9,-24.5,298.38,77,27,1.88,CV,1598060874
366,Faya,18.39,42.45,296.15,28,20,1.5,SA,1598060875
367,Shahrud,36.42,54.98,293.72,28,0,2.53,IR,1598060876
368,Esna,25.29,32.55,300.15,36,0,4.8,EG,1598060876
369,Luoyang,34.68,112.45,294.82,1,100,2.23,CN,1598060878
370,Santa Isabel Rio Negro,-0.41,-65.02,299.42,57,25,1.27,BR,1598060878
371,Haines Junction,60.75,-137.51,288.95,77,100,1.5,CA,1598060879
372,Padang,-0.95,100.35,302.23,66,27,0.7,ID,1598060879
373,Naze,28.37,129.48,304.15,70,20,1.5,JP,1598060880
374,Snezhnogorsk,69.19,33.25,284.15,93,24,3.0,RU,1598060880
375,Rio Verde de Mato Grosso,-18.92,-54.84,285.3,68,100,2.75,BR,1598060881
376,Hokitika,-42.72,170.97,286.2,79,1,2.63,NZ,1598060881
377,Udachny,66.42,112.4,285.15,50,54,2.0,RU,1598060882
378,Manta,-0.95,-80.73,294.15,88,90,1.5,EC,1598060882
379,Marinette,45.1,-87.63,297.15,73,1,1.5,US,1598060829
380,Sonoita,31.85,-112.83,308.71,42,1,6.11,MX,1598060884
381,Mineiros,-17.57,-52.55,284.74,79,83,5.32,BR,1598060811
382,Labuan,5.28,115.24,303.15,79,20,1.0,MY,1598060886
383,Tilichiki,60.47,166.1,285.45,76,100,0.91,RU,1598060886
384,Digha,21.68,87.55,298.73,93,100,2.03,IN,1598060887
385,Abeokuta,7.15,3.35,298.15,88,75,2.6,NG,1598060887
386,Ouésso,1.61,16.05,295.37,91,89,0.95,CG,1598060888
387,Severodvinsk,64.56,39.83,282.15,100,20,2.02,RU,1598060888
388,Bongor,10.28,15.37,295.98,93,100,1.95,TD,1598060889
389,Kisangani,0.52,25.2,295.12,96,100,0.96,CD,1598060890
390,Te Anau,-45.42,167.72,284.97,65,14,0.86,NZ,1598060890
391,Alugan,12.22,125.48,302.9,73,100,4.94,PH,1598060891
392,Krishnanagar,23.4,88.5,301.34,84,100,1.66,IN,1598060892
393,Provideniya,64.38,-173.3,282.75,89,100,5.14,RU,1598060892
394,Kamenka,51.32,42.77,282.59,76,82,0.89,RU,1598060893
395,Beian,63.66,9.57,289.15,87,100,3.1,NO,1598060893
396,Westport,41.14,-73.36,297.15,83,1,4.1,US,1598060894
397,Makakilo City,21.35,-158.09,305.15,49,75,4.1,US,1598060894
398,Thabazimbi,-24.59,27.41,284.82,80,36,0.38,ZA,1598060895
399,Cururupu,-1.83,-44.87,296.53,93,2,1.54,BR,1598060870
400,Kirs,59.34,52.24,281.77,97,97,2.26,RU,1598060896
401,Lenine,45.3,35.78,294.82,77,34,3.39,UA,1598060898
402,Hatillo,18.49,-66.83,300.93,88,42,2.24,PR,1598060898
403,Saiha,22.48,92.97,297.29,87,72,0.34,IN,1598060899
404,Garden City,42.33,-83.33,299.82,61,40,2.1,US,1598060901
405,Yulara,-25.24,130.99,291.15,32,0,4.6,AU,1598060902
406,Arroyo de la Encomienda,41.61,-4.8,289.82,87,0,2.6,ES,1598060902
407,Kutum,14.2,24.67,296.74,64,47,2.74,SD,1598060903
408,Rochegda,62.8,43.25,283.66,84,100,1.1,RU,1598060904
409,Shipitsyno,61.28,46.52,281.38,91,0,1.84,RU,1598060904
410,Tocopilla,-22.09,-70.2,288.06,57,0,1.04,CL,1598060905
411,Nishihara,26.18,127.76,304.15,74,75,3.6,JP,1598060905
412,Port Hardy,50.7,-127.42,288.15,87,75,4.1,CA,1598060753
413,Tabas,33.6,56.92,303.15,16,0,2.1,IR,1598060906
414,Raudeberg,61.99,5.14,289.26,91,99,7.52,NO,1598060907
415,Lata,40.16,-8.33,292.04,92,2,0.45,PT,1598060907
416,Port Shepstone,-30.74,30.45,286.02,76,0,3.55,ZA,1598060908
417,Ahipara,-35.17,173.17,289.47,73,83,4.33,NZ,1598060909
418,Morondava,-20.28,44.28,293.28,74,0,3.26,MG,1598060910
419,Bara,10.37,10.73,293.84,93,72,0.19,NG,1598060911
420,Tautira,-17.73,-149.15,299.15,78,75,2.1,PF,1598060911
421,Atar,20.52,-13.05,306.91,39,87,3.59,MR,1598060912
422,Mildura,-34.2,142.15,284.82,66,40,8.2,AU,1598060912
423,Torit,4.41,32.57,293.62,87,0,1.28,SS,1598060913
424,Manturovo,58.34,44.76,281.46,95,0,2.0,RU,1598060914
425,Genhe,50.78,121.52,291.69,61,100,1.94,CN,1598060914
426,Sur,22.57,59.53,300.22,75,66,4.24,OM,1598060915
427,Severnoye,56.35,78.36,284.62,94,38,3.46,RU,1598060915
428,Amazar,53.86,120.88,294.95,61,99,1.49,RU,1598060916
429,Djambala,-2.54,14.75,294.48,80,30,1.1,CG,1598060916
430,Berlevåg,70.86,29.09,286.25,86,37,5.37,NO,1598060917
431,Smithers,54.78,-127.17,288.15,87,90,1.0,CA,1598060918
432,Lufilufi,-13.87,-171.6,305.15,66,20,7.2,WS,1598060918
433,Lüderitz,-26.65,15.16,294.76,20,0,9.45,NA,1598060919
434,Konakovo,56.7,36.77,284.47,87,0,1.81,RU,1598060919
435,Safi,32.3,-9.24,294.67,76,0,6.59,MA,1598060920
436,Half Moon Bay,37.46,-122.43,300.15,82,40,4.57,US,1598060920
437,Puqi,29.72,113.88,300.75,84,94,1.79,CN,1598060653
438,Mindyak,54.02,58.79,284.15,93,75,3.0,RU,1598060922
439,At-Bashi,41.17,75.81,288.27,34,0,0.39,KG,1598060922
440,Tomatlán,19.93,-105.25,298.6,89,100,1.02,MX,1598060923
441,Turan,16.07,108.22,303.15,74,20,0.5,VN,1598060824
442,Ballina,-28.87,153.57,293.15,39,40,8.2,AU,1598060924
443,Baillif,16.02,-61.75,300.15,83,100,5.1,GP,1598060925
444,Lieksa,63.32,30.02,288.02,85,0,4.26,FI,1598060925
445,Bambanglipuro,-7.95,110.28,301.67,65,29,3.3,ID,1598060926
446,Jinchang,38.5,102.17,295.16,47,100,1.01,CN,1598060926
447,Romilly-sur-Seine,48.51,3.73,293.15,64,100,4.1,FR,1598060927
448,Wellington,-41.29,174.78,289.15,72,3,6.2,NZ,1598060868
449,Sol'vychegodsk,61.33,46.92,281.43,94,0,1.6,RU,1598060929
450,Risør,58.72,9.23,292.04,91,98,3.13,NO,1598060929
451,Mount Isa,-20.73,139.5,297.15,19,0,4.6,AU,1598060930
452,Awjilah,29.11,21.29,297.25,58,0,3.15,LY,1598060930
453,Nantucket,41.28,-70.1,294.15,88,1,3.6,US,1598060931
454,Yerbogachën,61.28,108.01,290.33,74,94,2.43,RU,1598060931
455,Brae,60.4,-1.35,286.15,100,9,2.6,GB,1598060932
456,Saint-Leu,-21.15,55.28,290.15,59,0,4.1,RE,1598060932
457,San Cristobal,7.77,-72.22,293.11,93,100,1.4,VE,1598060933
458,Onega,63.91,38.14,287.24,86,0,1.55,RU,1598060933
459,Sittwe,20.15,92.9,300.68,82,100,0.41,MM,1598060934
460,Macapá,0.04,-51.07,302.15,79,0,4.6,BR,1598060935
461,Mabaruma,8.2,-59.78,297.45,98,17,1.28,GY,1598060937
462,Antigonish,45.62,-62.0,291.48,87,100,0.89,CA,1598060700
463,Hailar,49.2,119.7,294.55,52,100,4.67,CN,1598060938
464,Montelíbano,7.98,-75.42,297.99,91,100,2.47,CO,1598060938
465,Laguna,38.42,-121.42,307.15,27,90,2.6,US,1598060939
466,Jūybār,36.64,52.91,298.15,88,90,1.0,IR,1598060940
467,Boa Vista,2.82,-60.67,302.15,70,27,2.1,BR,1598060940
468,College,64.86,-147.8,293.15,56,75,2.73,US,1598060941
469,Kiryat Gat,31.61,34.76,297.59,35,16,2.5,IL,1598060704
470,Henties Bay,-22.12,14.28,290.73,28,78,2.16,NA,1598060942
471,Ust-Nera,64.57,143.2,281.83,50,88,3.04,RU,1598060942
472,Carutapera,-1.2,-46.02,298.22,86,1,2.56,BR,1598060943
473,Kirakira,-10.45,161.92,302.84,73,83,5.19,SB,1598060943
474,Tobane,-21.95,27.9,287.02,79,100,7.41,BW,1598060944
475,Tres Arroyos,-38.37,-60.28,280.34,58,0,4.19,AR,1598060944
476,Eureka,40.8,-124.16,294.26,81,10,1.34,US,1598060831
477,Salinópolis,-0.61,-47.36,299.05,87,0,5.29,BR,1598060945
478,Husavik,66.04,-17.34,280.15,81,40,2.6,IS,1598060946
479,Huanren,41.26,125.37,298.73,63,35,1.48,CN,1598060947
480,Albanel,48.88,-72.45,286.15,87,20,2.6,CA,1598060948
481,Vieste,41.88,16.18,295.15,68,5,0.5,IT,1598060949
482,Qaqortoq,60.72,-46.03,280.93,70,0,2.02,GL,1598060950
483,Sokoni,-6.43,39.55,294.15,94,40,2.6,TZ,1598060951
484,San Jacinto,33.78,-116.96,305.37,37,70,1.79,US,1598060951
485,Fowa,8.92,6.4,294.3,97,39,1.08,NG,1598060952
486,Coração de Maria,-12.23,-38.75,291.75,97,2,1.59,BR,1598060952
487,Marrakesh,31.63,-8.01,301.15,37,20,0.5,MA,1598060953
488,Umm Hājar,13.3,19.7,299.37,80,100,0.86,TD,1598060953
489,Quatre Cocos,-20.21,57.76,293.15,82,75,4.42,MU,1598060954
490,Rock Springs,41.59,-109.2,302.15,9,1,8.2,US,1598060801
491,Ormara,25.21,64.64,301.94,80,51,2.46,PK,1598060955
492,Creel,27.75,-107.63,289.48,82,25,1.61,MX,1598060956
493,Wiarton,44.74,-81.13,294.15,88,90,0.92,CA,1598060956
494,Eilat,29.56,34.95,296.19,64,0,3.21,IL,1598060885
495,Kuruman,-27.45,23.43,276.48,34,0,5.52,ZA,1598060960
496,Abbeville,50.1,1.83,290.93,77,0,5.54,FR,1598060757
497,Šalčininkai,54.3,25.38,288.15,93,75,1.5,LT,1598060964
498,Isaccea,45.27,28.47,295.37,60,0,3.1,RO,1598060964
499,Tari,12.41,4.49,296.56,85,99,3.17,NG,1598060965
500,Xichang,27.9,102.26,296.31,68,14,0.91,CN,1598060965
501,Baykit,61.67,96.37,291.16,56,100,3.21,RU,1598060966
502,Abu Dhabi,24.47,54.37,306.15,75,100,1.0,AE,1598060966
503,Malbork,54.04,19.03,294.82,100,55,5.12,PL,1598060968
504,Batemans Bay,-35.72,150.18,286.48,67,21,2.68,AU,1598060968
505,Keroka,-0.78,34.95,284.16,96,36,2.02,KE,1598060970
506,Port Lincoln,-34.73,135.87,285.55,59,25,9.37,AU,1598060971
507,Fairbanks,64.84,-147.72,293.15,56,90,2.78,US,1598060731
508,Ushtobe,45.25,77.98,296.42,23,100,1.4,KZ,1598060972
509,Banda Aceh,5.56,95.32,301.06,74,99,0.93,ID,1598060973
510,Marion,39.77,-86.16,298.15,60,75,2.1,US,1598060709
511,Pyapon,16.28,95.68,299.82,85,96,3.63,MM,1598060974
512,General Roca,-39.03,-67.58,282.15,70,0,4.48,AR,1598060975
513,Innisfail,-17.53,146.03,300.37,22,92,3.23,AU,1598060975
514,San Andrés,12.58,-81.7,300.15,88,40,1.0,CO,1598060976
515,Fortuna Foothills,32.66,-114.41,311.15,35,1,5.1,US,1598060977
516,Aitape,-3.14,142.35,302.34,73,21,2.64,PG,1598060977
517,Nizwá,22.93,57.53,304.72,46,56,0.88,OM,1598060978
518,Oriximiná,-1.77,-55.87,300.68,39,0,1.91,BR,1598060978
519,Mpigi,0.23,32.31,294.15,88,20,0.74,UG,1598060979
520,Davlekanovo,54.22,55.03,286.15,93,90,3.0,RU,1598060980
521,Carauari,-4.88,-66.9,297.27,53,7,3.11,BR,1598060980
522,Wanning,18.8,110.4,303.3,70,21,1.87,CN,1598060981
523,Pacific Grove,36.62,-121.92,297.04,64,90,3.6,US,1598060982
524,Douglas,41.3,-96.17,301.15,65,1,2.6,US,1598060972
525,Viedma,-40.81,-63.0,285.37,52,0,1.79,AR,1598060902
526,Serrinha,-11.66,-39.01,291.62,98,0,2.66,BR,1598060983
527,General Salgado,-20.65,-50.36,285.45,86,100,4.08,BR,1598060984
528,Gold Coast,-28.0,153.43,294.26,34,100,3.6,AU,1598060931
529,Ialibu,-6.28,143.99,294.72,60,0,2.45,PG,1598060985
530,Ulladulla,-35.35,150.47,285.37,40,14,11.8,AU,1598060986
531,Dolores,-36.31,-57.68,279.33,63,0,2.81,AR,1598060986
532,Ambon City,-3.7,128.18,301.15,78,75,2.6,ID,1598060987
533,Port-Gentil,-0.72,8.78,296.87,81,100,4.31,GA,1598060988
534,Manggar,-2.88,108.27,301.27,78,48,6.31,ID,1598060989
535,Grass Valley,39.22,-121.06,304.15,28,1,2.1,US,1598060840
536,Lárdos,36.09,28.02,299.15,69,0,1.0,GR,1598060990
537,Azanka,58.04,64.79,284.36,97,33,3.19,RU,1598060990
538,Halifax,44.65,-63.57,292.04,72,62,2.81,CA,1598060950
539,La Fria,8.22,-72.24,297.75,86,100,2.43,VE,1598060992
540,Merauke,-8.47,140.33,300.98,62,3,4.04,ID,1598060697
541,Bereket,39.24,55.52,299.54,42,0,2.73,TM,1598060993
542,Payson,40.04,-111.73,305.37,31,1,3.1,US,1598060939
543,Nouadhibou,20.93,-17.03,299.15,69,91,5.1,MR,1598060994
544,Christchurch,-43.53,172.63,286.15,76,1,3.6,NZ,1598060719
545,Kumul,42.8,93.45,301.79,19,0,2.92,CN,1598060995
546,Alakurtti,66.97,30.35,284.91,91,4,1.7,RU,1598060995
547,Mkwanga,-7.12,39.21,294.15,94,40,2.6,TZ,1598060996
548,Anloga,5.79,0.9,297.15,88,40,4.6,GH,1598060996
549,Saint George,37.1,-113.58,313.15,12,1,6.2,US,1598060997
550,Hofn,64.25,-15.21,282.55,63,0,6.81,IS,1598060997
551,Ascension,30.22,-90.9,299.26,83,1,0.91,US,1598060998
552,Barkly West,-28.54,24.52,275.15,47,0,2.1,ZA,1598060999
